timestamp[us],left_dx[um],left_dy[um],left_dt[us],right_dx[um],right_dy[um],right_dt[us]
8650767,1718.235,-224.118,50000.000,1860.176,179.294,50000.000
8700773,298.824,82.176,50000.000,321.235,-216.647,50000.000
8750758,-829.235,-141.941,50000.000,-851.647,82.176,50000.000
8800761,-1755.588,-403.412,50000.000,-2099.235,806.823,50000.000
8850776,-2973.294,-582.706,50000.000,-3339.353,1008.529,50000.000
8900777,-4273.176,14.941,50000.000,-4758.764,37.353,50000.000
8950766,-5289.176,343.647,50000.000,-5685.117,-627.529,50001.000
9000803,-5573.059,0.000,50000.000,-5894.294,-455.706,49999.000
9050720,-5879.353,-112.059,50000.000,-6447.117,-239.059,50000.000
9100774,-6491.941,0.000,50000.000,-6880.411,-605.118,50000.000
9150700,-6708.588,22.412,50000.000,-7179.235,-552.823,50000.000
9200765,-6850.529,22.412,50000.000,-7380.941,-425.823,50000.000
9250759,-6798.235,-52.294,50000.000,-7470.588,-388.471,50000.000
9300769,-7007.411,-44.824,50000.000,-7493.000,-679.823,50000.000
9350773,-7126.941,-194.235,50000.000,-7515.411,-732.118,50000.000
9400780,-7029.823,-231.588,50000.000,-7664.823,-358.588,50000.000
9450786,-7097.058,-14.941,50000.000,-7806.764,-224.118,50000.000
9500774,-7186.706,-186.765,50000.000,-7717.117,-620.059,50001.000
9550788,-7246.470,-82.176,50000.000,-7672.293,-866.588,49999.000
9600802,-7044.764,-127.000,50000.000,-7649.882,-530.412,50002.000
9650791,-6813.176,-59.765,50000.000,-7463.117,-328.706,50000.000
9700772,-6813.176,-37.353,50000.000,-7186.706,-448.235,50000.000
9750773,-6544.235,-119.529,50000.000,-6887.882,-470.647,50000.000
9800781,-6073.588,-29.882,50000.000,-6544.235,-448.235,50000.000
9850776,-5543.176,-104.588,50000.000,-5976.470,-470.647,50000.000
9900783,-5289.176,-194.235,50000.000,-5550.646,-508.000,50000.000
9950783,-4676.588,-141.941,50000.000,-5102.412,-485.588,50001.000
10000797,-4011.706,14.941,50000.000,-4564.529,-283.882,49999.000
10050797,-3526.117,-7.471,50000.000,-3922.059,-216.647,50000.000
10100759,-3070.412,-37.353,50000.000,-3406.588,-231.588,50000.000
10150769,-2667.000,22.412,50000.000,-2831.353,-306.294,50000.000
10200772,-2129.117,22.412,50000.000,-2368.176,-186.765,50000.000
10250778,-1800.412,-7.471,50000.000,-1912.470,-268.941,50000.000
10300754,-1299.882,-14.941,50000.000,-1411.941,-268.941,50000.000
10350785,-657.412,89.647,50000.000,-918.882,-97.118,50000.000
10400755,-216.647,-22.412,50000.000,-321.235,-7.471,50000.000
10450738,22.412,-89.647,50000.000,179.294,-171.824,49998.000
10500777,328.706,22.412,50000.000,440.765,-82.176,50000.000
10550743,672.353,-44.824,50000.000,896.471,59.765,50000.000
10600744,1098.176,-127.000,50000.000,1359.647,104.588,50000.000
10650771,1329.765,-22.412,50000.000,1561.353,44.824,50000.000
10700756,1658.470,-22.412,50000.000,1942.353,52.294,50000.000
10750760,2009.588,37.353,50000.000,2106.706,268.941,50000.000
10800758,2024.529,-82.176,50000.000,2300.941,216.647,50000.000
10850763,2009.588,-112.059,50000.000,2368.176,44.824,50000.000
10900763,2054.412,74.706,50000.000,2263.588,44.824,50000.000
10950755,2076.823,44.824,50000.000,2353.235,209.176,50000.000
11000766,2032.000,-37.353,50000.000,2308.412,164.353,50000.000
11050759,1987.176,-59.765,50000.000,2196.353,44.824,50000.000
11100760,1860.176,59.765,50000.000,2076.823,44.824,50000.000
11150757,1695.823,-29.882,50000.000,2024.529,89.647,50000.000
11200766,1658.470,7.471,50000.000,1822.823,194.235,50000.000
11250749,1636.059,-14.941,50000.000,1740.647,179.294,50000.000
11300765,1531.470,-37.353,50000.000,1643.529,141.941,50000.000
11350769,1292.412,14.941,50000.000,1397.000,29.882,50000.000
11400762,1098.176,-97.118,50000.000,1232.647,-22.412,50000.000
11450760,963.706,-44.824,50000.000,1023.471,74.706,50000.000
11500743,762.000,29.882,50000.000,836.706,59.765,50001.000
11550760,664.882,-7.471,50000.000,724.647,0.000,49999.000
11600695,448.235,0.000,50000.000,478.118,-37.353,50000.000
11650689,268.941,0.000,50000.000,306.294,-22.412,50000.000
11700689,112.059,-7.471,50000.000,119.529,-67.235,50000.000
11750733,-37.353,7.471,50000.000,-7.471,-44.824,50000.000
11800702,-89.647,14.941,50000.000,-52.294,-29.882,50000.000
11850750,0.000,0.000,50000.000,0.000,0.000,50000.000
11900492,59.765,0.000,50000.000,22.412,0.000,50000.000
11950612,-44.824,0.000,50000.000,-37.353,-52.294,50000.000
12000682,-104.588,22.412,50000.000,-74.706,-67.235,50000.000
12050744,-37.353,149.412,50000.000,-14.941,22.412,50001.000
12100761,89.647,724.647,50000.000,-127.000,500.529,49999.000
12150777,336.176,-171.824,50000.000,-74.706,508.000,50000.000
12200751,59.765,-1210.235,50000.000,739.588,-425.823,50000.000
12250765,89.647,-82.176,50000.000,164.353,351.118,50000.000
12300751,567.765,-149.412,50000.000,313.765,239.059,50000.000
12350755,119.529,-37.353,50000.000,395.941,-448.235,50000.000
12400756,291.353,-44.824,50000.000,366.059,-216.647,50000.000
12450754,455.706,-7.471,50000.000,373.529,276.412,50000.000
12500733,306.294,-82.176,50000.000,410.882,119.529,50000.000
12550758,261.471,-82.176,50000.000,395.941,-112.059,50000.000
12600749,239.059,44.824,50000.000,291.353,22.412,50001.000
12650757,343.647,-74.706,50000.000,366.059,127.000,49999.000
12700771,336.176,-74.706,50000.000,358.588,-7.471,50000.000
12750733,216.647,-119.529,50000.000,321.235,-246.529,50000.000
12800767,216.647,-52.294,50000.000,343.647,-171.824,50000.000
12850762,343.647,82.176,50000.000,268.941,224.118,50000.000
12900758,433.294,-134.471,50000.000,433.294,141.941,50000.000
12950763,336.176,-127.000,50000.000,493.059,-119.529,50000.000
13000758,343.647,-82.176,50000.000,440.765,-171.824,50000.000
13050756,410.882,-7.471,50000.000,478.118,89.647,50001.000
13100746,493.059,7.471,50000.000,470.647,141.941,49999.000
13150749,395.941,22.412,50000.000,485.588,52.294,50000.000
13200746,358.588,0.000,50000.000,410.882,0.000,50000.000
13250627,351.118,22.412,50000.000,351.118,14.941,50000.000
13300745,239.059,29.882,50000.000,261.471,29.882,50000.000
13350745,149.412,0.000,50000.000,164.353,-14.941,50000.000
13400690,67.235,0.000,50000.000,82.176,-59.765,50000.000
13450680,0.000,0.000,50000.000,7.471,-22.412,50000.000
13500596,-7.471,0.000,50000.000,-7.471,-59.765,50000.000
13550641,-44.824,14.941,50000.000,-7.471,-29.882,50000.000
13600726,44.824,866.588,50000.000,0.000,762.000,50000.000
13650687,1045.882,1098.176,50000.000,149.412,3399.117,50000.000
13700778,2480.235,-1008.529,50000.000,1449.294,4437.529,50001.000
13750807,2465.294,-1322.294,50000.000,2532.529,3772.647,49999.000
13800813,2607.235,-500.529,50000.000,2196.353,2413.000,50000.000
13850779,1934.882,-403.412,50000.000,2218.765,22.412,50000.000
13900762,1426.882,22.412,50000.000,2024.529,-1023.471,50000.000
13950768,2211.294,89.647,50000.000,2360.706,-104.588,50000.000
14000763,2786.529,321.235,50000.000,2973.294,1172.882,50000.000
14050782,3660.588,261.471,50000.000,3354.294,1822.823,50000.000
14100771,3817.470,-29.882,50000.000,3959.411,1083.235,50000.000
14150777,3862.294,-37.353,50000.000,4280.647,433.294,50000.000
14200764,4168.588,37.353,50000.000,4347.882,112.059,50000.000
14250759,4026.647,-112.059,50000.000,4676.588,-171.824,50001.000
14300787,4377.765,119.529,50000.000,4870.823,395.941,49999.000
14350789,4773.706,52.294,50000.000,4878.294,567.765,50000.000
14400762,4385.235,-164.353,50000.000,5109.882,104.588,50000.000
14450767,4340.412,0.000,50000.000,5109.882,164.353,50000.000
14500696,4646.706,194.235,50000.000,4855.882,463.176,50000.000
14550771,4459.941,89.647,50000.000,4855.882,239.059,50000.000
14600760,4459.941,-29.882,50000.000,4938.059,104.588,50000.000
14650762,4280.647,-52.294,50000.000,4781.176,149.412,50000.000
14700767,4041.588,-29.882,50000.000,4474.882,209.176,50000.000
14750764,3922.059,74.706,50000.000,4265.706,186.765,50000.000
14800755,3735.294,14.941,50000.000,4123.765,171.824,50000.000
14850764,3548.529,-82.176,50000.000,3989.294,112.059,50000.000
14900767,3294.529,59.765,50000.000,3563.470,179.294,50000.000
14950767,3048.000,89.647,50000.000,3227.294,171.824,50000.000
15000762,2719.294,0.000,50000.000,3010.647,209.176,50000.000
15050697,2480.235,-22.412,50000.000,2569.882,239.059,50000.000
15100765,2076.823,-112.059,50000.000,2271.059,37.353,50000.000
